epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7216.35,0.61044,0.32278,0.8543,0.97668,0.9765,0.9929,0.91624,0.57611,0.27125,0.83725,0.005842,0.005842,0.005842
44,7382.92,0.60891,0.32177,0.85292,0.98011,0.97264,0.99294,0.91706,0.57382,0.26973,0.83583,0.005743,0.005743,0.005743
45,7550.02,0.61198,0.32243,0.85403,0.97752,0.97515,0.99284,0.9187,0.57133,0.26803,0.83582,0.005644,0.005644,0.005644
46,7717.34,0.60867,0.31985,0.85307,0.97509,0.97624,0.99266,0.91834,0.57168,0.26788,0.83664,0.005545,0.005545,0.005545
47,7883.79,0.6075,0.31873,0.85351,0.97951,0.9743,0.99301,0.91964,0.56959,0.2663,0.83561,0.005446,0.005446,0.005446
48,8051.34,0.60228,0.3165,0.85107,0.97911,0.97895,0.993,0.91952,0.56694,0.26565,0.83391,0.005347,0.005347,0.005347
49,8218.15,0.60113,0.31583,0.85095,0.97798,0.97729,0.99307,0.92057,0.56499,0.26465,0.83316,0.005248,0.005248,0.005248
50,8384.91,0.59862,0.31371,0.85143,0.9801,0.97585,0.99305,0.92101,0.56441,0.2639,0.83276,0.005149,0.005149,0.005149
51,8552.25,0.59921,0.31398,0.8512,0.97791,0.97814,0.99309,0.92223,0.56359,0.26301,0.83232,0.00505,0.00505,0.00505
52,8720.28,0.59462,0.31195,0.849,0.97655,0.98099,0.99329,0.9218,0.56309,0.26236,0.83189,0.004951,0.004951,0.004951
53,8888.28,0.5958,0.3106,0.84962,0.97788,0.97882,0.99315,0.92191,0.56212,0.26092,0.83133,0.004852,0.004852,0.004852
54,9055.33,0.5875,0.30711,0.84759,0.97929,0.97974,0.99321,0.92276,0.56136,0.26063,0.83148,0.004753,0.004753,0.004753
55,9222.97,0.58675,0.30656,0.84906,0.98023,0.97954,0.99329,0.92369,0.56038,0.26053,0.83192,0.004654,0.004654,0.004654
56,9390.61,0.5924,0.30808,0.84748,0.98034,0.98008,0.99334,0.92407,0.55892,0.25943,0.83088,0.004555,0.004555,0.004555
57,9558.61,0.58373,0.30458,0.84658,0.98059,0.97969,0.99334,0.92439,0.55813,0.25905,0.83129,0.004456,0.004456,0.004456
58,9726.47,0.58483,0.30518,0.84655,0.9813,0.97912,0.99332,0.92469,0.5572,0.25806,0.83091,0.004357,0.004357,0.004357
59,9893.66,0.58524,0.30374,0.84777,0.98225,0.97766,0.99327,0.92539,0.55626,0.25724,0.83083,0.004258,0.004258,0.004258
60,10061.3,0.57987,0.3,0.84606,0.98151,0.97815,0.99332,0.9263,0.55557,0.25662,0.83098,0.004159,0.004159,0.004159
61,10229,0.57706,0.29883,0.84557,0.98271,0.97783,0.99329,0.9268,0.55465,0.25573,0.83104,0.00406,0.00406,0.00406
62,10396.5,0.57749,0.29984,0.84421,0.98069,0.9805,0.99335,0.92678,0.55398,0.25553,0.83065,0.003961,0.003961,0.003961
63,10562.5,0.57542,0.29677,0.84449,0.9797,0.98074,0.99335,0.92757,0.55336,0.25497,0.83032,0.003862,0.003862,0.003862
64,10727.8,0.57756,0.29792,0.84408,0.9823,0.978,0.99335,0.92776,0.55246,0.25423,0.8298,0.003763,0.003763,0.003763
65,10892.6,0.56918,0.29505,0.84311,0.98223,0.97854,0.99339,0.92811,0.55172,0.25356,0.82964,0.003664,0.003664,0.003664
66,11058.3,0.57281,0.29414,0.84503,0.98141,0.98144,0.9935,0.92854,0.55101,0.25322,0.82964,0.003565,0.003565,0.003565
67,11223.7,0.56522,0.29237,0.84224,0.98198,0.98078,0.99348,0.92883,0.55031,0.25254,0.82926,0.003466,0.003466,0.003466
68,11388.6,0.56241,0.29018,0.84207,0.98362,0.98035,0.99351,0.92882,0.54969,0.25209,0.82898,0.003367,0.003367,0.003367
69,11551.9,0.56,0.28923,0.84262,0.98336,0.98085,0.99355,0.9292,0.5493,0.25167,0.82893,0.003268,0.003268,0.003268
70,11715.9,0.56035,0.28905,0.84029,0.98256,0.98171,0.99355,0.9292,0.54871,0.25109,0.82876,0.003169,0.003169,0.003169
71,11879.2,0.55928,0.28793,0.84074,0.98265,0.98134,0.99357,0.92956,0.54816,0.25078,0.82863,0.00307,0.00307,0.00307
72,12042.9,0.5524,0.28501,0.83871,0.98255,0.98099,0.99355,0.92998,0.54758,0.25036,0.82849,0.002971,0.002971,0.002971
73,12207,0.55637,0.28605,0.84186,0.98277,0.9812,0.99357,0.93003,0.54702,0.25014,0.8285,0.002872,0.002872,0.002872
74,12370.8,0.55586,0.28389,0.83944,0.98225,0.98135,0.9936,0.93042,0.54655,0.24985,0.82849,0.002773,0.002773,0.002773
75,12533.9,0.55231,0.28242,0.83849,0.98276,0.98117,0.9936,0.9309,0.54605,0.24947,0.8284,0.002674,0.002674,0.002674
76,12697.2,0.55057,0.28156,0.83991,0.98295,0.98069,0.99359,0.93114,0.54556,0.24912,0.82833,0.002575,0.002575,0.002575
77,12861.5,0.54875,0.27931,0.83915,0.98412,0.97997,0.99358,0.93132,0.54512,0.24896,0.82826,0.002476,0.002476,0.002476
78,13024.5,0.54299,0.27796,0.83627,0.98441,0.97988,0.99356,0.93152,0.5446,0.24864,0.82814,0.002377,0.002377,0.002377
79,13187.8,0.54144,0.27738,0.83746,0.98342,0.98053,0.99354,0.93157,0.54422,0.24833,0.82807,0.002278,0.002278,0.002278
80,13351,0.54039,0.27581,0.83618,0.98291,0.98083,0.99355,0.93176,0.54382,0.24804,0.82795,0.002179,0.002179,0.002179
81,13513.9,0.54197,0.27392,0.83738,0.98373,0.97992,0.99355,0.93179,0.54356,0.24772,0.8279,0.00208,0.00208,0.00208
82,13677.1,0.53577,0.27284,0.83583,0.98408,0.97979,0.99355,0.93177,0.54316,0.24755,0.82773,0.001981,0.001981,0.001981
83,13840.3,0.5346,0.27264,0.8366,0.98373,0.97987,0.99355,0.93209,0.54286,0.24715,0.82758,0.001882,0.001882,0.001882
84,14003.1,0.53128,0.26929,0.83367,0.98393,0.97976,0.99355,0.93231,0.54252,0.24686,0.8275,0.001783,0.001783,0.001783
85,14166.2,0.53034,0.26853,0.8336,0.98491,0.97927,0.99356,0.93268,0.54218,0.24671,0.82736,0.001684,0.001684,0.001684
86,14329.7,0.52881,0.26719,0.83294,0.98474,0.97945,0.99357,0.93297,0.54198,0.2466,0.82725,0.001585,0.001585,0.001585
